"eng","tr","telaffuz","Derece","Tek"
"Garb","Kisve","","zor","0"
"Under the garb of","Kisvesi altında","","deyim","0"
"Pretense","Rol, maske, hile","Pıritens","zor","0"
"Cajole","Tatlı sözle kandırmak, güzel sözle aldatmak","Kıcol","zor","0"
"Nothing short of","-den başka bir şey değil","","deyim","0"
"Obnoxious","Uygunsuz, çirkin, iğrenç","Abnokşıs","zor","0"
"Due","Vadesi dolmuş","","zor","0"
"Clause","Cümlecik, fıkra, ibare","","genel","0"
"Gig","Konser, gösteri","","zor","0"
"Scam","Dolandırıcılık, sahtekarlık","","zor","0"
"Scamming","Dolandırıcılık, sahtekarlık","","zor","0"
"Prey","Yem, av, kurban","","genel","0"
"Sewer","Kanalizasyon","","zor","0"
"Proliferate","Çoğalmak, üremek","Pırılifireyt","zor","0"
"Trout","Alabalık","Traut","zor","0"
"Retention","Alıkoyma, muhafaza, tutma (ısı, su vb.), hafıza","","zor","0"
"Itinerary","Çalışma programı, izlenecek yol, yolcu rehberi","Aytinırıri","zor","0"
"Measles","Kızamık","Mizıls","zor","0"
"Enamored","Abayı yakmış, aşık","İnemırd","zor","0"
"Cleft","Yarık","Kıleft","zor","0"
"Inert","Tembel, atıl, uyuşuk","İnört","zor","0"
"Erroneous","Hatalı","İroniyıs","zor","0"
"As for","-e gelince","","deyim","0"
"Given that","Farz edelim ki, diyelim ki","","deyim","0"
"Segregate","Ayrım yapmak, tecrit etmek","Segırıgeyt","zor","0"
"Genre","Tarz, üslup, biçim","Janra","zor","0"
"Wording","Üslup","","genel","0"
"Enchant","Aklını başından almak, büyülemek","İnçent","zor","0"
"Regardless of","Dikkate almaksızın","","deyim","0"
"That is","Yani","","deyim","0"
"In contrast with","Buna karşılık, -e zıt olarak, -in aksine","","deyim","0"
"Recap","Özet, tekrarlamak, özetlemek, özetleme","","genel","0"
"Up to date","Son moda, son teknoloji","","deyim","0"
"Stool","Dışkı, tabure","","genel","0"
"Fecal","Dışkı ile ilişkili","Fikıl","zor","0"
"Distent","Genişlik, şişkinlik","Distent","zor","0"
"Distention","Şişkinlik, karında şişkinlik","Distenşın","zor","0"
"Bloat","Kabartmak, doldurmak, egosunu şişirmek","Bılot","zor","0"
"Exacerbate","Kızdırmak, azdırmak, kötüleştirmek","İgzesırbeyt","zor","0"
"Leisure","Boş vakit","Lijır","zor","0"
"Stipend","Burs, ücret, aylık","Staypınd","zor","0"
"Gross","Bürüt, berbat","Gıros","zor","0"
"Expat","Gurbetçi, yabancı ülkede yaşayan kimse","Ekspet","zor","0"
"Seep - seeped - seeped","Sızmak","","zor","0"
"Cozy","Sıcak, samimi, rahat, hoş","","genel","0"
"Homogenous","Türdeş, homojen","Hımacınıs","zor","0"
"Paltry","Değersiz, kıymetsiz","Poltıri","zor","0"
"Soap opera","Pembe dizi, sürekli TV dizisi","Soup apıra","zor","0"
"Orchard","Meyve bahçesi, bostan, bağ, bahçe","Orçırd","zor","0"
"Dementia","Bunaklık, unutkanlık","Dimenşia","zor","0"
"Scribe","Katip, yazman","Sıkrayb","zor","0"
"Crucify","Çarmıha germek, işkence etmek","kurusifay","zor","0"
"Artisan","Esnaf","Artisın","zor","0"
"Combust","Yanmak, alev almak, tutuşmak","Kımbast","zor","0"
"Landfill","Çöp sahası, atık toplama sahası","","genel","0"
"Pervade","İstila etmek, yayılmak, sarmak, hâkim olmak","Pırveyd","zor","0"
"Proponent","Destekçi, yandaş, taraftar","Pırıponınt","zor","0"
